,0
0,0.34625617635879896
1,0.14899277841125047
2,0.12713797035347776
3,0.07981755986316989
4,0.06423413150893197
5,0.049600912200684154
6,0.04808057772709996
7,0.04694032687191182
8,0.04580007601672368
9,0.04313949068795135
